-614925;156228;1.48334e+06
-636773;146252;1.48756e+06
319767;-10628.8;2.25076e+06
15077.5;-38892.1;199308
285792;142520;828434
35128.1;-26586.7;200062
-64638.1;39628.7;166908
9498.72;-19566.8;194487
-716527;269273;1.75722e+06
378577;-11186.4;2.35394e+06
273017;84470.2;1.98059e+06
-5.24635e+06;2.79736e+06;2.56368e+07
1297.33;-23315.7;200453
1475.85;-21616.4;196410
4509.04;-19767.6;194375
122791;84737.4;367622
128392;77598.6;328473
129027;75486.4;324473
-69642.6;39291.4;164738
4848.54;-20683.9;201208
-289268;81816.5;615677
-490943;510872;3.45213e+06
-684873;318509;2.1932e+06
206796;67251.3;1.34187e+06
36035.6;-43171.5;202916
275943;157403;956021
1250.98;-20308.4;196568
342810;105354;2.11169e+06
25321.5;-42736.1;203410
281819;90664.6;2.12463e+06
-4343.83;186162;1.07804e+06
128098;73432.5;323825
402003;-780510;1.85661e+06
152071;238615;1.52437e+06
561874;-273437;1.01977e+06
4611.83;-22942.4;198204
-55701.4;31994.4;142861
48581;42817.2;376460
-162040;155836;861243
-1054.79;137710;752361
359336;49543.6;2.2203e+06
20188.7;-21567.2;200899
-416106;240380;1.69462e+06
359511;-43525.8;2.38176e+06
32007;-23279.2;196858
-312401;159023;1.38745e+06
66896.2;127121;748584
9667.95;-40588.7;198529
16774.2;-21461.5;197889
-64271.8;36704.3;163298
40027;-30316.6;202679
-255062;-30010.8;631216
65145.9;35389.4;120197
-298848;264713;2.28154e+06
220902;123371;754430
-324230;99974.1;675089
74277.2;20098.4;130231
74991.5;20452;129821
-6116.35;97581.1;659724
30486.8;-42050.4;201697
119180;193704;1.18806e+06
398584;209122;2.3062e+06
66820.6;43859.3;120380
-834561;451912;3.87889e+06
80112.9;40011.9;167234
-521435;326825;2.80457e+06
114051;218456;1.42622e+06
-420655;380131;3.2559e+06
226033;127249;783114
-430836;179728;2.00668e+06
287160;102122;1.67694e+06
182455;129094;794362
32621.2;-44384.7;204100
3342.8;-6142.97;-34333.7
-2.66594e+06;1.12548e+06;1.26738e+07
305831;-10495.7;2.22613e+06
-290999;95496.3;607870
262072;-35373.3;2.69725e+06
9424.44;-15628;-87412
5902.66;-22233.4;196503
65747.8;43188.8;118677
369103;-38673.6;2.38766e+06
35174.4;-25718.3;199764
-300186;340006;2.45248e+06
20580.1;-22658.9;196694
64648;36562.8;119389
12657.6;-22848.4;198228
343803;250128;1.76555e+06
231062;128044;790538
261460;106789;1.91869e+06
5447.81;-23187.1;199346
-243331;567654;3.53781e+06
-45943;101324;630919
7017.08;-23324.6;199633
-60098.2;88706.6;526833
74398.2;19967.6;129378
-76431.6;144872;961356
-2.04851e+06;1.89173e+06;1.35756e+07
79381.3;38861.3;166779
37827.4;-23482.1;198420
353075;-436692;1.23877e+06
205081;211712;1.2548e+06
266950;152489;926558
443867;-32096.8;2.56044e+06
135824;62903;259166
225447;127431;782493
221604;127553;735587
321119;-33131;2.08206e+06
395592;125859;2.97572e+06
368537;130454;2.14784e+06
287565;209725;1.48064e+06
231492;128394;791436
-265995;-31482.5;657970
-280981;79610.9;597867
323611;98770.6;2.34831e+06
-595785;276641;1.90471e+06
-2.85653e+06;-712536;-4.13616e+06
307261;161391;1.77737e+06
50101.1;44042.6;388042
90909.2;174980;1.14178e+06
-23496.3;51737.5;321300
66210.6;43446.1;119503
67143.6;44087.3;120903
294840;91333.6;1.81701e+06
1279.19;-23059;198586
132786;220540;1.32364e+06
214261;70040.6;1.38948e+06
-613642;230624;1.50639e+06
-63803.2;36405.4;162167
-533345;224820;2.53359e+06
-5213.3;83315.9;563482
-329869;191243;1.34541e+06
-34017.8;59596.2;361881
-761882;706795;5.05596e+06
-37012.1;63616.3;393698
528760;-257093;960740
80112.9;40011.9;167234
65221;41085.7;110260
9780.25;-20123.2;199150
7786.98;-20110.1;199037
310900;42643.5;1.92298e+06
-1076.15;115624;632437
-903063;2.10651e+06;1.31346e+07
-54133.5;80235.9;475766
7561.44;-22876.7;193889
208315;136639;863718
171565;177387;1.04905e+06
-123162;139938;1.00642e+06
35573.2;-42605.5;200550
-351901;667637;4.43758e+06
39582.6;-29930.2;200533
558895;421351;3.37888e+06
9959.73;-46802.6;199090
-345631;305624;2.63942e+06
-395841;165515;1.84533e+06
6702.1;110119;746800
12285.3;-46968.6;199846
349219;-509131;1.60628e+06
-679633;162904;1.59254e+06
224842;92473.5;1.65335e+06
-169240;153407;1.30904e+06
45327.7;-24022.9;197570
34973.1;-41632.9;197145
4633.1;-23014.9;198226
479872;-477401;1.069e+06
74759;20261.5;131053
-2.12281e+06;132571;6.59058e+06
17371.2;-22855.1;197873
1323.12;-19689.4;191114
31972;-23324.4;196825
46049.8;84222.5;396949
3456.98;-6347.29;-35449.8
9356.44;-23006.9;199104
-586241;193873;1.45939e+06
32903.1;-29876.8;199462
1896.73;-46536.7;196986
66992.2;51298.5;136661
-175089;168387;930060
5374.93;-22868;197061
5864.76;-47782.6;202772
46422.7;-26412.7;199663
37547.1;-23351.9;197024
1808.36;-21337.9;197733
35128.1;-26586.7;200062
4698.76;-20524.1;200594
2635.19;-20236.3;197718
395184;-26564;2.254e+06
130829;75168.3;330554
-1.78444e+06;952259;8.72447e+06
9902.52;-41185.6;201591
-3789.47;154317;894135
15974.3;-21578.4;194261
66735.9;51619.7;137726
46771.7;-25044.7;198922
31385;-44494.5;202409
-83396.2;100274;681384
337664;246286;1.73874e+06
-6580.03;103640;701558
-55197.9;95788.1;583500
65557.3;39450.8;111131
44411.6;81412;384944
359662;-25698.1;2.07879e+06
203162;117002;675211
-52586.5;116118;723922
52996.4;46034.2;408771
392152;138441;2.28484e+06
-240034;-28138.8;593457
-33295.9;57028.3;353535
-892047;412493;2.85182e+06
385771;291465;2.33881e+06
131525;164852;969829
-277292;78552.1;590165
-323218;299501;2.13761e+06
364991;112997;2.25472e+06
291314;89046.1;2.12458e+06
277892;87843.3;2.09551e+06
372984;-547278;1.71449e+06
-647639;164815;1.56078e+06
-288493;94542.4;601525
386886;51704.1;2.38961e+06
-496918;286212;2.02054e+06
343368;89130.5;513859
185618;60876.1;1.20703e+06
201073;111686;688899
195533;128332;812096
-516441;159446;1.24895e+06
409503;-11691.9;2.54066e+06
396495;-42798.7;2.57984e+06
422710;-11808.3;2.56295e+06
-289526;93516.2;601812
228964;93912.7;1.68116e+06
8410.73;-21455.3;194238
262765;129342;748149
1272.89;-23201.3;199140
-2.43979e+06;151554;7.56519e+06
5445.35;-22976.3;198490
287261;143240;832131
238469;-451532;-3.00919e+06
250917;-3308.1;2.42296e+06
4202.66;-21453.4;195525
-25313;58506;364405
564100;-274809;1.02502e+06
45640.5;-24180.9;198767
7733.57;-23572.7;199762
-521802;129060;1.40231e+06
-818672;343495;3.88817e+06
739.841;-40898;207022
17253.3;-45699.9;198238
-198366;179242;1.53251e+06
344198;-11111.4;2.42954e+06
66790.8;51604.8;137799
-934849;509584;4.36186e+06
4699.88;-44011.6;197931
14291.2;-43187.1;203157
-144806;163742;1.18058e+06
-1442.9;143351;786191
5755.87;-46906;199460
40136.7;-23338.7;198061
9300.23;-46009.7;200825
9949.06;-46880.1;199351
64917.2;40840.9;112316
4932.16;-45866.5;199587
6865.92;-20970.4;194064
45522.7;-25908.3;196219
-2.73717e+06;101582;8.10946e+06
11140.9;-20370.7;200935
9554.79;-19978.7;196906
462736;-460203;1.03124e+06
64501.6;36437.8;119210
-74767;42549.9;188352
2004.45;-47438.8;200435
-256382;-30027.7;633178
258309;188824;1.33436e+06
221178;125990;769736
297467;104551;1.73101e+06
-389110;225723;1.58644e+06
207780;85650.4;1.52994e+06
-810643;374274;2.59014e+06
139085;66628.5;259858
296754;-7877.46;1.84218e+06
-305855;98689.9;635158
306321;-7967.46;1.85999e+06
342378;179094;1.9804e+06
273185;83675.7;1.9952e+06
-295385;90648.2;614542
215801;70281.8;1.4003e+06
282937;-29492;1.84925e+06
365158;-534297;1.6764e+06
-1.87344e+07;3.25657e+07;1.98376e+08
480418;150564;3.60678e+06
341327;191742;1.96414e+06
-293200;96146.2;611159
-279769;79613.1;595482
-285785;94161.8;607140
6891.6;-22450.6;196806
65699.5;41347.3;113593
2813.2;-20346.4;198678
7696.11;-23489.5;199565
-567683;213104;1.39574e+06
-1.38943e+06;669800;6.39154e+06
12118.8;-20092.6;198072
-5816.93;93544.6;635018
-650205;105865;2.14101e+06
38119.1;-34624.1;199572
178060;-2328.58;1.71907e+06
53959.7;46747.5;416004
338279;104319;2.0866e+06
610229;461037;3.68554e+06
64989.6;39154.8;110301
3107.32;-45590.6;201740
74691.9;20311.9;130939
-1.35649e+06;739214;6.34525e+06
-716485;326695;2.29641e+06
-3.75966e+06;234476;1.16444e+07
34013.9;-23287.9;196574
-599163;184622;1.4474e+06
-1.27417e+06;529347;6.03651e+06
-631510;156078;1.69576e+06
-27200.4;60604.3;376808
27954.6;-42877.7;203857
-56986;98058.6;606697
-1303.17;120242;660279
-238811;270587;1.9458e+06
-4.20131e+06;161066;1.24558e+07
66291.7;51232.6;136776
22169.3;-22996.5;201704
15923.9;-19454.2;193095
4938.39;-45368.6;197727
-93261.4;65491.2;247457
6593.18;-46018.2;198264
5073.23;-43323.4;202346
32024.7;-34250.3;198501
-166403;150490;1.28367e+06
16042.9;-22479;195636
4843.08;-44726.6;200460
5963.65;-21812.6;202303
64810;36604;119711
1962.26;-47481.2;200660
-328362;176265;1.60979e+06
481155;248842;2.77342e+06
-299830;98590;636478
266812;149790;1.53747e+06
333291;-487180;1.52903e+06
340447;102660;2.49033e+06
-300167;85246.1;638631
-434537;252252;1.77312e+06
-11045.6;19138.7;117063
-5.70856e+06;2.63095e+06;1.82276e+07
-562869;135646;1.5237e+06
-315028;100560;653727
483794;-12196.2;2.93506e+06
469844;-12067.7;2.90763e+06
147120;-250773;-1.55294e+06
386427;-11281.6;2.73959e+06
48481;-32994.2;201327
-245838;-28721.6;606951
46004.1;-23380.9;197288
312243;-20986.7;1.79937e+06
142599;68278.8;266058
-1797.75;199846;1.10437e+06
-706240;216299;1.707e+06
1316.81;-44413.8;196051
-313891;96227;652829
414958;-397509;1.03886e+06
254646;78800.2;1.57492e+06
194405;80995.3;1.43214e+06
47663.1;87396.6;413772
15563.9;-42009.6;198535
21766.7;-31920.2;198466
-508433;125248;1.36492e+06
66328.8;51149.6;136779
-752205;317084;3.52138e+06
8486.5;-45040.6;202594
308680;192388;1.61743e+06
-736495;402999;3.44971e+06
